state,region,disease,year,cases,incidence_per_100k,population
Goa,West,Diarrhoeal Disease,2019,12540,14.75,85036267
Goa,West,Pneumonia,2019,57251,67.33,85036267
Goa,West,Tuberculosis,2020,78631,77.47,101500482
Goa,West,Malaria,2020,49813,,101500482
Goa,West,Dengue,2020,12766,,101500482
Goa,West,HIV/AIDS,2020,17261,17.01,101500482
Goa,West,Measles,2020,23488,23.14,101500482
Goa,West,Hepatitis B,2020,21529,21.21,101500482
Goa,West,Diarrhoeal Disease,2020,70605,69.56,101500482
Goa,West,Pneumonia,2020,61283,,101500482
Goa,West,Tuberculosis,2021,95068,79.43,119691181
Goa,West,Malaria,2021,30484,25.47,119691181
Goa,West,Dengue,2021,30183,25.22,119691181
Goa,West,HIV/AIDS,2021,61561,51.43,119691181
Goa,West,Measles,2021,89168,,119691181
Goa,West,Hepatitis B,2021,33443,27.94,119691181
Goa,West,Diarrhoeal Disease,2021,518,0.43,119691181
Goa,West,Pneumonia,2021,86395,72.18,119691181
Goa,West,Tuberculosis,2022,76425,537.4,14221335
Goa,West,Malaria,2022,86291,606.77,14221335
Goa,West,Dengue,2022,66299,466.19,14221335
Goa,West,HIV/AIDS,2022,82000,576.6,14221335
Goa,West,Measles,2022,71588,503.38,14221335
Goa,West,Hepatitis B,2022,32775,230.46,14221335
Goa,West,Diarrhoeal Disease,2022,91886,646.11,14221335
Goa,West,Pneumonia,2022,48105,338.26,14221335
Goa,West,Tuberculosis,2023,39890,78.35,50913560
Goa,West,Malaria,2023,36162,71.03,50913560
Goa,West,Dengue,2023,79571,156.29,50913560
Goa,West,HIV/AIDS,2023,93077,182.81,50913560
Goa,West,Measles,2023,63340,124.41,50913560
Goa,West,Hepatitis B,2023,61075,119.96,50913560
Goa,West,Diarrhoeal Disease,2023,67852,133.27,50913560
Goa,West,Pneumonia,2023,20226,39.73,50913560
Goa,West,Tuberculosis,2024,96570,84.78,113908554
Goa,West,Malaria,2024,45196,39.68,113908554
Goa,West,Dengue,2024,28101,24.67,113908554
Goa,West,HIV/AIDS,2024,27659,24.28,113908554
Goa,West,Measles,2024,10352,9.09,113908554
Goa,West,Hepatitis B,2024,1442,1.27,113908554
Goa,West,Diarrhoeal Disease,2024,19470,17.09,113908554
Goa,West,Pneumonia,2024,6992,6.14,113908554
Gujarat,West,Tuberculosis,2015,62422,521.74,11964110
Gujarat,West,Malaria,2015,40568,339.08,11964110
Gujarat,West,Dengue,2015,95906,801.61,11964110
Gujarat,West,HIV/AIDS,2015,59864,500.36,11964110
Gujarat,West,Measles,2015,41126,343.74,11964110
Gujarat,West,Hepatitis B,2015,92161,770.31,11964110
Gujarat,West,Diarrhoeal Disease,2015,37685,314.98,11964110
Gujarat,West,Pneumonia,2015,60775,507.98,11964110
Gujarat,West,Tuberculosis,2016,35471,52.03,68170211
Gujarat,West,Malaria,2016,25753,37.78,68170211
Gujarat,West,Dengue,2016,52874,77.56,68170211
Gujarat,West,HIV/AIDS,2016,41394,60.72,68170211
Gujarat,West,Measles,2016,2310,3.39,68170211
Gujarat,West,Hepatitis B,2016,530,0.78,68170211
Gujarat,West,Diarrhoeal Disease,2016,44805,65.73,68170211
Gujarat,West,Pneumonia,2016,55472,81.37,68170211
Gujarat,West,Tuberculosis,2017,38356,128.41,29869446
Gujarat,West,Malaria,2017,23488,78.64,29869446
Gujarat,West,Dengue,2017,86938,291.06,29869446
Gujarat,West,HIV/AIDS,2017,65749,220.12,29869446
Gujarat,West,Measles,2017,39458,132.1,29869446
Gujarat,West,Hepatitis B,2017,23019,77.07,29869446
Gujarat,West,Diarrhoeal Disease,2017,64894,217.26,29869446
Gujarat,West,Pneumonia,2017,81120,271.58,29869446
Gujarat,West,Tuberculosis,2018,71100,112.86,63000532
Gujarat,West,Malaria,2018,98879,156.95,63000532
Gujarat,West,Dengue,2018,73900,117.3,63000532
Gujarat,West,HIV/AIDS,2018,6504,10.32,63000532
Gujarat,West,Measles,2018,30448,48.33,63000532
Gujarat,West,Hepatitis B,2018,95487,151.57,63000532
Gujarat,West,Diarrhoeal Disease,2018,8246,13.09,63000532
Gujarat,West,Pneumonia,2018,38978,61.87,63000532
Gujarat,West,Tuberculosis,2019,36195,1924.82,1880439
Gujarat,West,Malaria,2019,65357,3475.62,1880439
Gujarat,West,Dengue,2019,68238,3628.83,1880439
Gujarat,West,HIV/AIDS,2019,9408,500.31,1880439
Gujarat,West,Measles,2019,61392,3264.77,1880439
Gujarat,West,Hepatitis B,2019,95297,5067.81,1880439
Gujarat,West,Diarrhoeal Disease,2019,88229,4691.94,1880439
Gujarat,West,Pneumonia,2019,89247,4746.07,1880439
Gujarat,West,Tuberculosis,2020,67170,,117288043
Gujarat,West,Malaria,2020,54459,46.43,117288043
Gujarat,West,Dengue,2020,11350,9.68,117288043
Gujarat,West,HIV/AIDS,2020,84012,,117288043
Gujarat,West,Measles,2020,95794,81.67,117288043
Gujarat,West,Hepatitis B,2020,63642,54.26,117288043
Gujarat,West,Diarrhoeal Disease,2020,97668,83.27,117288043
Gujarat,West,Pneumonia,2020,56038,47.78,117288043
Gujarat,West,Tuberculosis,2021,49570,62.61,79171226
Gujarat,West,Malaria,2021,54143,68.39,79171226
Gujarat,West,Dengue,2021,79803,100.8,79171226
Gujarat,West,HIV/AIDS,2021,30300,38.27,79171226
Gujarat,West,Measles,2021,26547,33.53,79171226
Gujarat,West,Hepatitis B,2021,60084,75.89,79171226
Gujarat,West,Diarrhoeal Disease,2021,71783,90.67,79171226
Gujarat,West,Pneumonia,2021,16325,20.62,79171226
Gujarat,West,Tuberculosis,2022,55657,471.75,11797945
Gujarat,West,Malaria,2022,91649,776.82,11797945
Gujarat,West,Dengue,2022,11499,97.47,11797945
Gujarat,West,HIV/AIDS,2022,26734,226.6,11797945
Gujarat,West,Measles,2022,93458,792.15,11797945
Gujarat,West,Hepatitis B,2022,76914,651.93,11797945
Gujarat,West,Diarrhoeal Disease,2022,52819,447.7,11797945
Gujarat,West,Pneumonia,2022,21228,179.93,11797945
Gujarat,West,Tuberculosis,2023,75339,71.58,105251837
Gujarat,West,Malaria,2023,5096,4.84,105251837
Gujarat,West,Dengue,2023,59978,,105251837
Gujarat,West,HIV/AIDS,2023,48340,45.93,105251837
Gujarat,West,Measles,2023,32785,31.15,105251837
Gujarat,West,Hepatitis B,2023,39086,37.14,105251837
Gujarat,West,Diarrhoeal Disease,2023,90036,85.54,105251837
Gujarat,West,Pneumonia,2023,49553,47.08,105251837
Gujarat,West,Tuberculosis,2024,72920,6458.81,1129001
Gujarat,West,Malaria,2024,10526,932.33,1129001
Gujarat,West,Dengue,2024,10961,970.86,1129001
Gujarat,West,HIV/AIDS,2024,44474,3939.23,1129001
Gujarat,West,Measles,2024,37228,3297.43,1129001
Gujarat,West,Hepatitis B,2024,36967,3274.31,1129001
Gujarat,West,Diarrhoeal Disease,2024,61645,5460.14,1129001
Gujarat,West,Pneumonia,2024,84422,,1129001
Haryana,North,Tuberculosis,2015,51331,342.28,14996646
Haryana,North,Malaria,2015,21217,141.48,14996646
Haryana,North,Dengue,2015,14124,94.18,14996646
Haryana,North,HIV/AIDS,2015,79244,528.41,14996646
Haryana,North,Measles,2015,9520,63.48,14996646
Haryana,North,Hepatitis B,2015,99919,666.28,14996646
Haryana,North,Diarrhoeal Disease,2015,84716,564.9,14996646
Haryana,North,Pneumonia,2015,47408,316.12,14996646
Haryana,North,Tuberculosis,2016,54958,147.68,37213897
Haryana,North,Malaria,2016,46966,126.21,37213897
Haryana,North,Dengue,2016,23947,64.35,37213897
Haryana,North,HIV/AIDS,2016,26881,72.23,37213897
Haryana,North,Measles,2016,56099,,37213897
Haryana,North,Hepatitis B,2016,63411,170.4,37213897
Haryana,North,Diarrhoeal Disease,2016,21979,59.06,37213897
Haryana,North,Pneumonia,2016,80247,215.64,37213897
Haryana,North,Tuberculosis,2017,32999,39.97,82568270
Haryana,North,Malaria,2017,25866,31.33,82568270
Haryana,North,Dengue,2017,11670,14.13,82568270
Haryana,North,HIV/AIDS,2017,7394,8.96,82568270
Haryana,North,Measles,2017,11393,13.8,82568270
Haryana,North,Hepatitis B,2017,18129,21.96,82568270
Haryana,North,Diarrhoeal Disease,2017,71360,86.43,82568270
Haryana,North,Pneumonia,2017,70029,84.81,82568270
Haryana,North,Tuberculosis,2018,27313,32.48,84089180
Haryana,North,Malaria,2018,15698,18.67,84089180
Haryana,North,Dengue,2018,38809,46.15,84089180
Haryana,North,HIV/AIDS,2018,53957,64.17,84089180
Haryana,North,Measles,2018,10357,12.32,84089180
Haryana,North,Hepatitis B,2018,72762,86.53,84089180
Haryana,North,Diarrhoeal Disease,2018,33870,,84089180
Haryana,North,Pneumonia,2018,66460,,84089180
Haryana,North,Tuberculosis,2019,40758,,91496278
Haryana,North,Malaria,2019,33236,36.32,91496278
Haryana,North,Dengue,2019,49308,53.89,91496278
Haryana,North,HIV/AIDS,2019,94118,102.87,91496278
Haryana,North,Measles,2019,77900,85.14,91496278
Haryana,North,Hepatitis B,2019,87482,95.61,91496278
Haryana,North,Diarrhoeal Disease,2019,45182,49.38,91496278
Haryana,North,Pneumonia,2019,94701,103.5,91496278
Haryana,North,Tuberculosis,2020,40066,37.85,105864156
Haryana,North,Malaria,2020,66537,62.85,105864156
Haryana,North,Dengue,2020,8848,8.36,105864156
Haryana,North,HIV/AIDS,2020,81574,77.06,105864156
Haryana,North,Measles,2020,32776,30.96,105864156
Haryana,North,Hepatitis B,2020,65455,61.83,105864156
Haryana,North,Diarrhoeal Disease,2020,53354,50.4,105864156
Haryana,North,Pneumonia,2020,4297,,105864156
Haryana,North,Tuberculosis,2021,62162,51.44,120849600
Haryana,North,Malaria,2021,84511,69.93,120849600
Haryana,North,Dengue,2021,33937,28.08,120849600
Haryana,North,HIV/AIDS,2021,71248,58.96,120849600
Haryana,North,Measles,2021,17853,14.77,120849600
Haryana,North,Hepatitis B,2021,6054,5.01,120849600
Haryana,North,Diarrhoeal Disease,2021,43796,36.24,120849600
Haryana,North,Pneumonia,2021,80715,66.79,120849600
Haryana,North,Tuberculosis,2022,89153,100.21,88967216
Haryana,North,Malaria,2022,22602,25.4,88967216
Haryana,North,Dengue,2022,41979,47.18,88967216
Haryana,North,HIV/AIDS,2022,47767,53.69,88967216
Haryana,North,Measles,2022,68703,77.22,88967216
Haryana,North,Hepatitis B,2022,30133,33.87,88967216
Haryana,North,Diarrhoeal Disease,2022,99479,111.82,88967216
Haryana,North,Pneumonia,2022,1906,2.14,88967216
Haryana,North,Tuberculosis,2023,75475,73.69,102422948
Haryana,North,Malaria,2023,7077,6.91,102422948
Haryana,North,Dengue,2023,18830,18.38,102422948
Haryana,North,HIV/AIDS,2023,57361,56.0,102422948
Haryana,North,Measles,2023,6984,6.82,102422948
Haryana,North,Hepatitis B,2023,97591,95.28,102422948
Haryana,North,Diarrhoeal Disease,2023,97941,,102422948
Haryana,North,Pneumonia,2023,13275,12.96,102422948
Haryana,North,Tuberculosis,2024,19572,25.47,76839710
Haryana,North,Malaria,2024,41986,54.64,76839710
Haryana,North,Dengue,2024,39511,51.42,76839710
Haryana,North,HIV/AIDS,2024,32664,42.51,76839710
Haryana,North,Measles,2024,776,1.01,76839710
Haryana,North,Hepatitis B,2024,66086,86.01,76839710
Haryana,North,Diarrhoeal Disease,2024,18357,23.89,76839710
Haryana,North,Pneumonia,2024,65165,84.81,76839710
Himachal Pradesh,North,Tuberculosis,2015,23436,99.89,23462680
Himachal Pradesh,North,Malaria,2015,41806,178.18,23462680
Himachal Pradesh,North,Dengue,2015,82247,350.54,23462680
Himachal Pradesh,North,HIV/AIDS,2015,88156,,23462680
Himachal Pradesh,North,Measles,2015,60481,257.78,23462680
Himachal Pradesh,North,Hepatitis B,2015,70523,,23462680
Himachal Pradesh,North,Diarrhoeal Disease,2015,4185,17.84,23462680
Himachal Pradesh,North,Pneumonia,2015,51961,221.46,23462680
Himachal Pradesh,North,Tuberculosis,2016,77540,128.5,60340306
Himachal Pradesh,North,Malaria,2016,94177,156.08,60340306
Himachal Pradesh,North,Dengue,2016,87816,145.53,60340306
Himachal Pradesh,North,HIV/AIDS,2016,32136,53.26,60340306
Himachal Pradesh,North,Measles,2016,7866,13.04,60340306
Himachal Pradesh,North,Hepatitis B,2016,34196,56.67,60340306
Himachal Pradesh,North,Diarrhoeal Disease,2016,78476,130.06,60340306
Himachal Pradesh,North,Pneumonia,2016,55968,92.75,60340306
Himachal Pradesh,North,Tuberculosis,2017,91249,75.78,120418538
Himachal Pradesh,North,Malaria,2017,12612,10.47,120418538
Himachal Pradesh,North,Dengue,2017,14957,12.42,120418538
Himachal Pradesh,North,HIV/AIDS,2017,57173,47.48,120418538
Himachal Pradesh,North,Measles,2017,17786,,120418538
Himachal Pradesh,North,Hepatitis B,2017,37088,30.8,120418538
Himachal Pradesh,North,Diarrhoeal Disease,2017,14174,11.77,120418538
Himachal Pradesh,North,Pneumonia,2017,37302,30.98,120418538
Himachal Pradesh,North,Tuberculosis,2018,29296,33.08,88559104
Himachal Pradesh,North,Malaria,2018,47592,53.74,88559104
Himachal Pradesh,North,Dengue,2018,73712,83.23,88559104
Himachal Pradesh,North,HIV/AIDS,2018,76043,,88559104
Himachal Pradesh,North,Measles,2018,73786,83.32,88559104
Himachal Pradesh,North,Hepatitis B,2018,84050,94.91,88559104
Himachal Pradesh,North,Diarrhoeal Disease,2018,98509,111.24,88559104
Himachal Pradesh,North,Pneumonia,2018,18528,20.92,88559104
Himachal Pradesh,North,Tuberculosis,2019,74531,1082.6,6884458
Himachal Pradesh,North,Malaria,2019,67816,985.06,6884458
Himachal Pradesh,North,Dengue,2019,14416,209.4,6884458
Himachal Pradesh,North,HIV/AIDS,2019,90242,1310.81,6884458
Himachal Pradesh,North,Measles,2019,19144,278.08,6884458
Himachal Pradesh,North,Hepatitis B,2019,96630,1403.6,6884458
Himachal Pradesh,North,Diarrhoeal Disease,2019,64922,943.02,6884458
Himachal Pradesh,North,Pneumonia,2019,44512,646.56,6884458
Himachal Pradesh,North,Tuberculosis,2020,7955,8.09,98359598
Himachal Pradesh,North,Malaria,2020,44633,45.38,98359598
Himachal Pradesh,North,Dengue,2020,58264,59.24,98359598
Himachal Pradesh,North,HIV/AIDS,2020,61114,,98359598
Himachal Pradesh,North,Measles,2020,15404,15.66,98359598
Himachal Pradesh,North,Hepatitis B,2020,90865,92.38,98359598
Himachal Pradesh,North,Diarrhoeal Disease,2020,58993,59.98,98359598
Himachal Pradesh,North,Pneumonia,2020,72976,74.19,98359598
Himachal Pradesh,North,Tuberculosis,2021,29454,170.89,17235909
Himachal Pradesh,North,Malaria,2021,83642,485.28,17235909
Himachal Pradesh,North,Dengue,2021,78009,452.6,17235909
Himachal Pradesh,North,HIV/AIDS,2021,51516,298.89,17235909
Himachal Pradesh,North,Measles,2021,33067,191.85,17235909
Himachal Pradesh,North,Hepatitis B,2021,79968,463.96,17235909
Himachal Pradesh,North,Diarrhoeal Disease,2021,93759,543.97,17235909
Himachal Pradesh,North,Pneumonia,2021,69829,405.14,17235909
Himachal Pradesh,North,Tuberculosis,2022,81461,102.62,79380408
Himachal Pradesh,North,Malaria,2022,21922,27.62,79380408
Himachal Pradesh,North,Dengue,2022,2573,3.24,79380408
Himachal Pradesh,North,HIV/AIDS,2022,63896,80.49,79380408
Himachal Pradesh,North,Measles,2022,20567,25.91,79380408
Himachal Pradesh,North,Hepatitis B,2022,90555,114.08,79380408
Himachal Pradesh,North,Diarrhoeal Disease,2022,45120,56.84,79380408
Himachal Pradesh,North,Pneumonia,2022,9128,11.5,79380408
Himachal Pradesh,North,Tuberculosis,2023,196,0.53,37039406
Himachal Pradesh,North,Malaria,2023,6830,18.44,37039406
Himachal Pradesh,North,Dengue,2023,88646,239.33,37039406
Himachal Pradesh,North,HIV/AIDS,2023,98041,264.69,37039406
Himachal Pradesh,North,Measles,2023,20072,54.19,37039406
Himachal Pradesh,North,Hepatitis B,2023,73727,199.05,37039406
Himachal Pradesh,North,Diarrhoeal Disease,2023,95378,257.5,37039406
Himachal Pradesh,North,Pneumonia,2023,98128,264.93,37039406
Himachal Pradesh,North,Tuberculosis,2024,25286,26.34,95981359
Himachal Pradesh,North,Malaria,2024,81792,85.22,95981359
Himachal Pradesh,North,Dengue,2024,16212,16.89,95981359
Himachal Pradesh,North,HIV/AIDS,2024,14155,14.75,95981359
Himachal Pradesh,North,Measles,2024,3012,3.14,95981359
Himachal Pradesh,North,Hepatitis B,2024,71624,74.62,95981359
Himachal Pradesh,North,Diarrhoeal Disease,2024,74338,77.45,95981359
Himachal Pradesh,North,Pneumonia,2024,93133,97.03,95981359
Jharkhand,East,Tuberculosis,2015,55088,93.38,58990837
Jharkhand,East,Malaria,2015,66398,112.56,58990837
Jharkhand,East,Dengue,2015,84798,143.75,58990837
Jharkhand,East,HIV/AIDS,2015,6170,10.46,58990837
Jharkhand,East,Measles,2015,56115,95.12,58990837
Jharkhand,East,Hepatitis B,2015,10903,18.48,58990837
Jharkhand,East,Diarrhoeal Disease,2015,67048,113.66,58990837
Jharkhand,East,Pneumonia,2015,16727,28.36,58990837
Jharkhand,East,Tuberculosis,2016,82214,70.86,116015215
Jharkhand,East,Malaria,2016,7184,6.19,116015215
Jharkhand,East,Dengue,2016,89283,76.96,116015215
Jharkhand,East,HIV/AIDS,2016,77830,67.09,116015215
Jharkhand,East,Measles,2016,42668,36.78,116015215
Jharkhand,East,Hepatitis B,2016,23055,19.87,116015215
Jharkhand,East,Diarrhoeal Disease,2016,58956,50.82,116015215
Jharkhand,East,Pneumonia,2016,86807,74.82,116015215
Jharkhand,East,Tuberculosis,2017,78720,308.03,25555554
Jharkhand,East,Malaria,2017,30154,117.99,25555554
Jharkhand,East,Dengue,2017,52254,204.47,25555554
Jharkhand,East,HIV/AIDS,2017,13068,51.14,25555554
Jharkhand,East,Measles,2017,50160,196.28,25555554
Jharkhand,East,Hepatitis B,2017,57755,226.0,25555554
Jharkhand,East,Diarrhoeal Disease,2017,66393,259.8,25555554
Jharkhand,East,Pneumonia,2017,81557,319.14,25555554
Jharkhand,East,Tuberculosis,2018,41984,89.15,47095916
Jharkhand,East,Malaria,2018,45588,96.8,47095916
Jharkhand,East,Dengue,2018,2819,5.99,47095916
Jharkhand,East,HIV/AIDS,2018,192,0.41,47095916
Jharkhand,East,Measles,2018,55527,,47095916
Jharkhand,East,Hepatitis B,2018,67213,142.72,47095916
Jharkhand,East,Diarrhoeal Disease,2018,50124,106.43,47095916
Jharkhand,East,Pneumonia,2018,33169,70.43,47095916
Jharkhand,East,Tuberculosis,2019,1560,28.57,5459394
Jharkhand,East,Malaria,2019,44271,810.91,5459394
Jharkhand,East,Dengue,2019,68140,1248.12,5459394
Jharkhand,East,HIV/AIDS,2019,50438,923.88,5459394
Jharkhand,East,Measles,2019,31426,575.63,5459394
Jharkhand,East,Hepatitis B,2019,54259,993.86,5459394
Jharkhand,East,Diarrhoeal Disease,2019,84169,1541.73,5459394
Jharkhand,East,Pneumonia,2019,52069,953.75,5459394
Jharkhand,East,Tuberculosis,2020,42407,37.32,113627731
Jharkhand,East,Malaria,2020,63888,56.23,113627731
Jharkhand,East,Dengue,2020,29652,26.1,113627731
Jharkhand,East,HIV/AIDS,2020,38195,33.61,113627731
Jharkhand,East,Measles,2020,78874,69.41,113627731
Jharkhand,East,Hepatitis B,2020,4169,3.67,113627731
Jharkhand,East,Diarrhoeal Disease,2020,49004,43.13,113627731
Jharkhand,East,Pneumonia,2020,1111,0.98,113627731
Jharkhand,East,Tuberculosis,2021,74072,72.6,102029378
Jharkhand,East,Malaria,2021,69547,68.16,102029378
Jharkhand,East,Dengue,2021,46898,45.97,102029378
Jharkhand,East,HIV/AIDS,2021,99985,98.0,102029378
Jharkhand,East,Measles,2021,87017,85.29,102029378
Jharkhand,East,Hepatitis B,2021,8273,8.11,102029378
Jharkhand,East,Diarrhoeal Disease,2021,56042,54.93,102029378
Jharkhand,East,Pneumonia,2021,29360,28.78,102029378
Jharkhand,East,Tuberculosis,2022,55782,,124952409
Jharkhand,East,Malaria,2022,29877,23.91,124952409
Jharkhand,East,Dengue,2022,49170,39.35,124952409
Jharkhand,East,HIV/AIDS,2022,34041,27.24,124952409
Jharkhand,East,Measles,2022,98178,78.57,124952409
Jharkhand,East,Hepatitis B,2022,22651,18.13,124952409
Jharkhand,East,Diarrhoeal Disease,2022,90813,72.68,124952409
Jharkhand,East,Pneumonia,2022,95951,76.79,124952409
Jharkhand,East,Tuberculosis,2023,36135,48.33,74762773
Jharkhand,East,Malaria,2023,68609,91.77,74762773
Jharkhand,East,Dengue,2023,72225,96.61,74762773
Jharkhand,East,HIV/AIDS,2023,94634,126.58,74762773
Jharkhand,East,Measles,2023,66119,88.44,74762773
Jharkhand,East,Hepatitis B,2023,27264,36.47,74762773
Jharkhand,East,Diarrhoeal Disease,2023,79816,106.76,74762773
Jharkhand,East,Pneumonia,2023,28872,38.62,74762773
Jharkhand,East,Tuberculosis,2024,61700,79.18,77925753
Jharkhand,East,Malaria,2024,18770,,77925753
Jharkhand,East,Dengue,2024,44879,57.59,77925753
Jharkhand,East,HIV/AIDS,2024,47953,,77925753
Jharkhand,East,Measles,2024,94435,121.19,77925753
Jharkhand,East,Hepatitis B,2024,66071,84.79,77925753
Jharkhand,East,Diarrhoeal Disease,2024,38934,49.96,77925753
Jharkhand,East,Pneumonia,2024,76355,97.98,77925753
Karnataka,South,Tuberculosis,2015,58443,287.17,20351682
Karnataka,South,Malaria,2015,55580,273.1,20351682
Karnataka,South,Dengue,2015,33034,162.32,20351682
Karnataka,South,HIV/AIDS,2015,93600,459.91,20351682
Karnataka,South,Measles,2015,31081,152.72,20351682
Karnataka,South,Hepatitis B,2015,53770,264.2,20351682
Karnataka,South,Diarrhoeal Disease,2015,72607,356.76,20351682
Karnataka,South,Pneumonia,2015,38875,191.02,20351682
Karnataka,South,Tuberculosis,2016,84546,69.8,121125720
Karnataka,South,Malaria,2016,61318,50.62,121125720
Karnataka,South,Dengue,2016,65429,54.02,121125720
Karnataka,South,HIV/AIDS,2016,85791,70.83,121125720
Karnataka,South,Measles,2016,31748,26.21,121125720
Karnataka,South,Hepatitis B,2016,95616,78.94,121125720
Karnataka,South,Diarrhoeal Disease,2016,21243,17.54,121125720
Karnataka,South,Pneumonia,2016,34553,28.53,121125720
Karnataka,South,Tuberculosis,2017,75866,81.95,92571938
Karnataka,South,Malaria,2017,42391,45.79,92571938
Karnataka,South,Dengue,2017,65449,70.7,92571938
Karnataka,South,HIV/AIDS,2017,96205,103.92,92571938
Karnataka,South,Measles,2017,51976,56.15,92571938
Karnataka,South,Hepatitis B,2017,31955,34.52,92571938
Karnataka,South,Diarrhoeal Disease,2017,14027,15.15,92571938
Karnataka,South,Pneumonia,2017,85624,92.49,92571938
Karnataka,South,Tuberculosis,2018,66266,264.67,25037311
Karnataka,South,Malaria,2018,92861,370.89,25037311
Karnataka,South,Dengue,2018,78223,312.43,25037311
Karnataka,South,HIV/AIDS,2018,12326,49.23,25037311
Karnataka,South,Measles,2018,29973,119.71,25037311
Karnataka,South,Hepatitis B,2018,29463,117.68,25037311
Karnataka,South,Diarrhoeal Disease,2018,59703,,25037311
Karnataka,South,Pneumonia,2018,41684,166.49,25037311
Karnataka,South,Tuberculosis,2019,43653,118.86,36725927
Karnataka,South,Malaria,2019,61973,168.74,36725927
Karnataka,South,Dengue,2019,27088,73.76,36725927
Karnataka,South,HIV/AIDS,2019,10483,28.54,36725927
Karnataka,South,Measles,2019,25448,69.29,36725927
Karnataka,South,Hepatitis B,2019,36115,98.34,36725927
Karnataka,South,Diarrhoeal Disease,2019,26365,71.79,36725927
Karnataka,South,Pneumonia,2019,99483,270.88,36725927
Karnataka,South,Tuberculosis,2020,8828,20.67,42704683
Karnataka,South,Malaria,2020,89453,209.47,42704683
Karnataka,South,Dengue,2020,4549,10.65,42704683
Karnataka,South,HIV/AIDS,2020,27457,64.3,42704683
Karnataka,South,Measles,2020,942,,42704683
Karnataka,South,Hepatitis B,2020,22658,53.06,42704683
Karnataka,South,Diarrhoeal Disease,2020,4307,10.09,42704683
Karnataka,South,Pneumonia,2020,10252,24.01,42704683
Karnataka,South,Tuberculosis,2021,11714,21.36,54836898
Karnataka,South,Malaria,2021,46734,85.22,54836898
Karnataka,South,Dengue,2021,87534,159.63,54836898
Karnataka,South,HIV/AIDS,2021,2020,3.68,54836898
Karnataka,South,Measles,2021,43326,79.01,54836898
Karnataka,South,Hepatitis B,2021,34801,63.46,54836898
Karnataka,South,Diarrhoeal Disease,2021,38200,69.66,54836898
Karnataka,South,Pneumonia,2021,80974,147.66,54836898
Karnataka,South,Tuberculosis,2022,43797,43.34,101058127
Karnataka,South,Malaria,2022,76512,75.71,101058127
Karnataka,South,Dengue,2022,26707,26.43,101058127
Karnataka,South,HIV/AIDS,2022,69760,69.03,101058127
Karnataka,South,Measles,2022,18787,,101058127
Karnataka,South,Hepatitis B,2022,99560,98.52,101058127
Karnataka,South,Diarrhoeal Disease,2022,80819,79.97,101058127
Karnataka,South,Pneumonia,2022,52175,,101058127
Karnataka,South,Tuberculosis,2023,85624,79.41,107829631
Karnataka,South,Malaria,2023,63843,59.21,107829631
Karnataka,South,Dengue,2023,83442,77.38,107829631
Karnataka,South,HIV/AIDS,2023,23479,21.77,107829631
Karnataka,South,Measles,2023,79472,73.7,107829631
Karnataka,South,Hepatitis B,2023,9432,8.75,107829631
Karnataka,South,Diarrhoeal Disease,2023,26525,24.6,107829631
Karnataka,South,Pneumonia,2023,50692,47.01,107829631
Karnataka,South,Tuberculosis,2024,97197,98.94,98237411
Karnataka,South,Malaria,2024,10286,10.47,98237411
Karnataka,South,Dengue,2024,93090,94.76,98237411
Karnataka,South,HIV/AIDS,2024,98582,,98237411
Karnataka,South,Measles,2024,3891,3.96,98237411
Karnataka,South,Hepatitis B,2024,40618,41.35,98237411
Karnataka,South,Diarrhoeal Disease,2024,56391,57.4,98237411
Karnataka,South,Pneumonia,2024,71035,72.31,98237411
Kerala,South,Tuberculosis,2015,53802,97.51,55173631
Kerala,South,Malaria,2015,34129,61.86,55173631
Kerala,South,Dengue,2015,88514,160.43,55173631
Kerala,South,HIV/AIDS,2015,85604,,55173631
Kerala,South,Measles,2015,78027,141.42,55173631
Kerala,South,Hepatitis B,2015,95502,173.09,55173631
Kerala,South,Diarrhoeal Disease,2015,54516,98.81,55173631
Kerala,South,Pneumonia,2015,67768,122.83,55173631
Kerala,South,Tuberculosis,2016,39418,877.41,4492562
Kerala,South,Malaria,2016,71609,1593.95,4492562
Kerala,South,Dengue,2016,64625,1438.49,4492562
Kerala,South,HIV/AIDS,2016,80644,1795.06,4492562
Kerala,South,Measles,2016,92841,2066.55,4492562
Kerala,South,Hepatitis B,2016,89438,1990.8,4492562
Kerala,South,Diarrhoeal Disease,2016,77514,1725.39,4492562
Kerala,South,Pneumonia,2016,39370,876.34,4492562
Kerala,South,Tuberculosis,2017,63085,156.3,40360428
Kerala,South,Malaria,2017,69015,171.0,40360428
Kerala,South,Dengue,2017,30886,76.53,40360428
Kerala,South,HIV/AIDS,2017,96095,238.09,40360428
Kerala,South,Measles,2017,13481,33.4,40360428
Kerala,South,Hepatitis B,2017,27857,69.02,40360428
Kerala,South,Diarrhoeal Disease,2017,23837,59.06,40360428
Kerala,South,Pneumonia,2017,93065,230.58,40360428
Kerala,South,Tuberculosis,2018,28808,104.58,27545254
Kerala,South,Malaria,2018,41209,149.6,27545254
Kerala,South,Dengue,2018,45180,164.02,27545254
Kerala,South,HIV/AIDS,2018,65307,237.09,27545254
Kerala,South,Measles,2018,20716,75.21,27545254
Kerala,South,Hepatitis B,2018,34165,124.03,27545254
Kerala,South,Diarrhoeal Disease,2018,39861,144.71,27545254
